skill;course_name;link;platform
maven;Maven Crash Course;https://www.udemy.com/course/mavencrashcourse/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=IT+en&utm_content=o&funnel=&test=&msclkid=1aa235bee66a1e0a8ab25cfc5e724791&couponCode=CM251217G2;Udemy
remote troubleshooting;IT Troubleshooting Skill Training;https://www.udemy.com/course/it-troubleshooting/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=IT+Troubleshooting+Course&utm_content=o&funnel=&test=&msclkid=39ddb587c42119f288d1dcc57c7daf86&couponCode=CM251217G2;Udemy
odoo framework;ODOO Technical Training - v7, v8-11;https://www.udemy.com/course/odoo-technical/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Odoo+Tutorial&utm_content=o&funnel=&test=&msclkid=26be4060b92c1bc88e3e292201bd9c27&couponCode=CM251217G2;Udemy
zoho crm;Getting Started with Zoho CRM for Sales Reps;https://www.coursera.org/learn/getting-started-with-zoho-crm-for-sales-reps;Coursera
monitoring tools;Monitoring and Observability for Development and DevOps;https://www.coursera.org/learn/monitoring-and-observability-for-development-and-devops;Coursera
backup and recovery;Backup and Disaster Recovery Administrator. Become an EXPERT;https://www.udemy.com/course/backupsdr/?couponCode=CM251217G2;Udemy
vpn;Virtual Private Networks for beginners - VPN, Cisco training;https://www.udemy.com/course/virtual-private-network/?couponCode=CM251217G2;udemy
design systems;System Design Fundamentals;https://www.coursera.org/learn/pearson-system-design-fundamentals-livelesson-video-training-n1kdi;Coursera
hardware troubleshooting;Core 1: Hardware and Network Troubleshooting;https://www.coursera.org/learn/core1-hardware-and-network-troubleshooting;Coursera
automation anywhere;Automation Anywhere 360/A2019 - Complete RPA Training Course;https://www.udemy.com/course/complete-automation-anywhere-rpa-developer-course/?couponCode=CM251217G2;Udemy
documentation;Understanding and Documenting Problem Statements + ChatGPT;https://www.udemy.com/course/understanding-and-documenting-problem-statements-chatgpt/?couponCode=CM251217G2;Udemy
